Stat_ID,Player_ID,First_Name,Last_Name,Points
1076655,482,Marvin,Williams,10
1076669,219,Al,Horford,14
1076654,33,Nicolas,Batum,13
1076672,204,Gordon,Hayward,12
1076656,48,Bismack,Biyombo,2
1076658,465,Kemba,Walker,21
1076668,328,Marcus,Morris,15
1076675,468,Brad,Wanamaker,5
1076659,255,Michael,Kidd-Gilchrist,6
1076657,267,Jeremy,Lamb,6
1076674,35,Aron,Baynes,2
1076670,420,Marcus,Smart,3
1076665,252,Frank,Kaminsky,3
1076671,403,Terry,Rozier,17
1076660,207,Willy,Hernangomez,2
1076673,70,Jaylen,Brown,24
1076678,488,Guerschon,Yabusele,2
1076667,434,Jayson,Tatum,20
1076663,324,Malik,Monk,16
1076677,353,Semi,Ojeleye,7
1076664,23,Dwayne,Bacon,5
1076676,439,Daniel,Theis,5
1076661,62,Miles,Bridges,2
1076662,180,Devonte',Graham,6
1076666,96,Joe,Chealey,2
1121381,481,Lou,Williams,15
1121388,219,Al,Horford,6
1121374,167,Danilo,Gallinari,19
1121376,45,Patrick,Beverley,12
1121373,436,Garrett,Temple,11
1121391,204,Gordon,Hayward,19
1121390,228,Kyrie,Irving,14
1121387,328,Marcus,Morris,15
1121396,468,Brad,Wanamaker,2
1121378,187,JaMychal,Green,2
1121389,420,Marcus,Smart,2
1121379,194,Montrezl,Harrell,21
1121395,403,Terry,Rozier,16
1121393,70,Jaylen,Brown,12
1121385,466,Tyrone,Wallace,0
1121398,488,Guerschon,Yabusele,0
1121375,493,Ivica,Zubac,12
1121386,434,Jayson,Tatum,16
1121394,353,Semi,Ojeleye,0
1121382,331,Johnathan,Motley,0
1121384,445,Sindarius,Thornwell,0
1121392,439,Daniel,Theis,10
1121377,175,Shai,Gilgeous-Alexander,14
1121383,398,Jerome,Robinson,0
1121380,414,Landry,Shamet,17
1121397,476,Robert,Williams III,0
1115493,241,Amir,Johnson,0
1115485,389,JJ,Redick,34
1115483,200,Tobias,Harris,14
1115482,79,Jimmy,Butler,22
1115469,31,Will,Barton,14
1115489,410,Mike,Scott,2
1115470,371,Mason,Plumlee,10
1115488,146,James,Ennis III,6
1115484,145,Joel,Embiid,15
1115471,246,Nikola,Jokic,27
1115490,304,T.J.,McConnell,4
1115475,290,Trey,Lyles,13
1115487,296,Boban,Marjanovic,4
1115486,417,Ben,Simmons,12
1115472,38,Malik,Beasley,12
1115473,335,Jamal,Murray,23
1115491,260,Furkan,Korkmaz,4
1115477,206,Juancho,Hernangomez,4
1115479,289,Tyler,Lydon,0
1115492,55,Jonah,Bolden,0
1115476,330,Monte,Morris,7
1115474,110,Torrey,Craig,0
1115480,457,Jarred,Vanderbilt,0
1115481,471,Thomas,Welsh,0
1115478,3091,Brandon,Goodwin,0
1115456,20,Trevor,Ariza,14
1115454,164,Channing,Frye,0
1115467,294,Ian,Mahinmi,0
1115457,188,Jeff,Green,15
1115447,285,Kevin,Love,4
1115464,245,Wesley,Johnson,2
1115455,258,Brandon,Knight,0
1115459,37,Bradley,Beal,25
1115466,2007,John,Jenkins,0
1115460,408,Tomas,Satoransky,9
1115453,123,Matthew,Dellavedova,0
1115468,310,Jordan,McRae,2
1115452,100,Jordan,Clarkson,24
1115463,362,Jabari,Parker,7
1115465,121,Sam,Dekker,0
1115462,377,Bobby,Portis,30
1115461,386,Chasson,Randle,2
1115446,340,Larry,Nance Jr.,10
1115451,97,Marquese,Chriss,13
1115450,492,Ante,Zizic,6
1115448,350,David,Nwaba,17
1115458,74,Thomas,Bryant,13
1115449,413,Collin,Sexton,27
1115445,3450,Deng,Adel,5
1117639,461,Dwyane,Wade,15
1117642,203,Udonis,Haslem,0
1117654,1764,Corey,Brewer,0
1117641,13,Ryan,Anderson,0
1117657,263,Kosta,Koufos,0
1117643,242,James,Johnson,9
1117636,474,Hassan,Whiteside,17
1117647,49,Nemanja,Bjelica,4
1117655,77,Alec,Burks,9
1117634,463,Dion,Waiters,12
1117646,30,Harrison,Barnes,12
1117635,358,Kelly,Olynyk,9
1117644,307,Rodney,McGruder,4
1117652,53,Bogdan,Bogdanovic,16
1117638,485,Justise,Winslow,5
1117648,91,Willie,Cauley-Stein,7
1117637,391,Josh,Richardson,21
1117649,210,Buddy,Hield,23
1117656,157,Yogi,Ferrell,6
1117650,161,De'Aaron,Fox,12
1117653,174,Harry,Giles III,10
1117640,4,Bam,Adebayo,2
1117658,299,Frank,Mason,0
1117651,24,Marvin,Bagley III,3
1117645,397,Duncan,Robinson,2
1129150,361,Zaza,Pachulia,4
1129130,20,Trevor,Ariza,23
1129136,294,Ian,Mahinmi,0
1129145,80,Jose,Calderon,0
1129129,188,Jeff,Green,4
1129141,189,Blake,Griffin,31
1129146,144,Wayne,Ellington,2
1129135,245,Wesley,Johnson,6
1129151,422,Ish,Smith,7
